,FL1-A,FL3-A
0,3688.8657,2896.3523
1,5461.912,1927.9503
2,5673.281,3926.9863
3,5736.9385,4201.6934
4,4443.5083,3553.5486
5,3337.6882,2941.7932
6,6140.7036,3726.9492
7,4213.3,3673.235
8,3599.97,1988.5569
9,3423.911,2046.8926
10,3994.8179,2352.2693
11,4130.7236,2038.6964
12,3380.2605,3112.055
13,3818.8171,715.74646
14,3458.2866,1712.5894
15,3614.7532,3106.5847
16,3672.0173,3022.4746
17,4889.0703,3686.485
18,3453.2388,1799.827
19,3396.9536,3095.5237
20,3645.9092,2408.6785
21,4450.681,1662.4955
22,4339.233,3343.6484
23,3652.2197,2258.5288
24,6106.444,4549.3164
25,3441.314,3587.6257
26,3534.3416,3182.2112
27,4114.4126,906.37683
28,4692.2935,3112.055
29,4119.2896,3211.3647
30,6097.6836,4278.7407
31,3329.6619,2809.1907
32,4685.0327,3503.681
33,5462.0474,3864.8352
34,3652.2197,2507.7034
35,5922.794,4263.978
36,3755.4673,792.5865
37,4399.404,3614.7532
38,3370.8105,1526.9543
39,3700.6414,1997.0288
40,3795.0227,2545.8337
41,6228.3726,4879.7627
42,4734.8105,2801.163
43,3922.0312,4344.759
44,3517.6506,1361.5568
45,4695.653,2809.1907
46,3810.9824,3232.487
47,3602.6821,1962.8628
48,3446.45,1828.0605
49,4374.5015,3339.6807
50,3305.0195,2670.8516
51,3591.7659,2496.5361
52,3948.8203,612.21857
53,3557.9043,388.81177
54,3374.606,2907.0686
55,5912.5503,3584.8513
56,5485.749,3075.767
57,3329.6619,2572.1902
58,3681.6978,1809.2853
59,3423.911,3302.9268
60,4321.476,3814.9116
61,3487.814,3234.7964
62,5270.8228,4424.831
63,3409.6646,2408.6785
64,5738.91,3996.2954
65,4421.4756,3621.3657
66,3617.406,2907.0686
67,3562.2317,2126.3755
68,3621.3657,1672.6063
69,3537.3323,3232.487
70,5716.901,3935.972
71,3305.0195,1771.1696
72,3525.2886,3321.5432
73,3277.319,2345.8206
74,3487.814,2889.129
75,3803.0518,3508.3696
76,3384.005,2751.3445
77,3900.962,2751.3445
78,3461.6313,2666.1602
79,3549.1648,2642.3357
80,3825.5955,2907.0686
81,3534.3416,2251.5398
82,3844.579,3201.776
83,6388.501,4505.244
84,3589.0085,3604.0344
85,3337.6882,3138.8196
86,3380.2605,3010.1125
87,5949.4194,4495.706
88,4912.6577,3663.4287
89,6037.3535,4022.3167
90,3852.0188,2941.7932
91,3534.3416,3484.5957
92,3610.7537,2848.2185
93,3400.6091,3034.6418
94,3565.1013,402.06403
95,3818.8171,4372.0767
96,5277.7505,3735.8574
97,3277.319,2438.7917
98,3547.697,3164.6523
99,4010.1616,2971.8025
100,3810.9824,0.0
101,3674.451,1771.1696
102,3924.5137,0.0
103,5528.23,2965.2314
104,3681.6978,3092.7327
105,3434.4055,3486.2068
106,4113.8003,2910.6091
107,3569.3828,2734.0793
108,3705.2932,3272.96
109,6048.0044,4243.402
110,3575.049,2365.0562
111,3654.727,2817.143
112,4293.621,5049.985
113,3621.3657,2438.7917
114,3634.3965,3311.2612
115,4312.6265,4007.2676
116,3720.1875,3339.6807
117,5022.489,3736.9624
118,4147.784,3644.64
119,3741.364,0.0
120,3856.6255,2896.3523
121,3469.9219,2987.9937
122,6248.761,4404.804
123,6251.4175,4399.404
124,3575.049,1494.6222
125,3413.254,3355.4187
126,3867.5486,2780.7556
127,6484.3984,4766.5166
128,3547.697,3279.4885
129,3532.841,2768.2734
130,5319.5317,3900.962
131,3804.0483,3434.4055
132,4589.017,3055.4814
133,3378.3809,3092.7327
134,3413.254,2149.3572
135,3650.9624,3061.3328
136,4090.7146,2642.3357
137,3537.3323,3201.776
138,3323.5815,3248.4988
139,6501.2007,4673.481
140,3437.8684,3296.6108
141,4775.6113,3345.6238
142,5133.4463,3722.4492
143,4083.6848,2707.5288
144,3606.7302,2637.4958
145,3359.2986,2013.8339
146,4068.0698,4215.387
147,3400.6091,2396.3918
148,5196.486,3420.3767
149,3378.3809,2582.5347
150,3966.0745,3130.8906
151,3458.2866,3055.4814
152,3446.45,1901.2733
153,3557.9043,1771.1696
154,3461.6313,2237.4404
155,4279.2114,3106.5847
156,5433.2017,4125.935
157,3788.935,3805.0435
158,4990.4517,3573.637
159,3643.368,3690.0527
160,3906.0823,3187.1519
161,3547.697,2768.2734
162,3658.4705,2637.4958
163,3614.7532,348.9821
164,3668.3503,3617.406
165,3794.012,2306.342
166,3870.2505,1600.875
167,3323.5815,3288.1013
168,3311.2612,3420.3767
169,3797.0393,0.0
170,3534.3416,2720.9038
171,6250.1367,4714.0376
172,3423.911,67.56041
173,3294.493,1439.8914
