,FL1-A,FL3-A
0,3662.1926,3415.0415
1,3473.2102,2848.2185
2,5227.0044,2863.3315
3,5556.3296,3954.361
4,3573.637,1461.9086
5,5395.0938,2991.1921
6,5684.344,4041.1543
7,3355.4187,2345.8206
8,3900.1045,2768.2734
9,3441.314,2788.9773
10,3769.272,3149.2612
11,3787.9148,3103.8347
12,3655.9773,3339.6807
13,3391.4338,3288.1013
14,3984.379,1.6940659e-21
15,3771.37,3003.8567
16,5349.0566,3201.776
17,3487.814,1558.8982
18,3565.1013,3138.8196
19,6680.954,4962.6836
20,3681.6978,2230.3296
21,3441.314,3043.6426
22,3667.1233,3052.5388
23,4228.787,2987.9937
24,3659.7136,3206.5862
25,3609.4153,1042.7155
26,4367.1987,3919.5393
27,3678.0842,3413.254
28,3627.913,2319.653
29,3938.401,2535.0884
30,3746.8245,2896.3523
31,3395.1184,3232.487
32,3736.9624,3043.6426
33,3813.9316,2414.7695
34,3349.5583,2948.5608
35,3543.2747,2602.8936
36,3385.8696,3355.4187
37,6037.223,4395.907
38,3825.5955,689.9744
39,3733.6416,2587.6655
40,3769.272,3281.6514
41,3752.2397,2751.3445
42,3525.2886,2759.8503
43,3894.936,2768.2734
44,3675.664,3010.1125
45,3413.254,2821.091
46,5287.1367,3823.666
47,5476.4985,3673.235
48,3418.603,2776.615
49,3613.4226,3112.055
50,4467.563,3378.3809
51,3305.0195,3250.7573
52,4008.7163,507.60913
53,3396.9536,1936.7487
54,3894.936,1.6940659e-21
55,3436.1392,702.86993
56,3546.226,2828.9321
57,3768.2205,2582.5347
58,3270.7705,3194.5005
59,3778.6604,3043.6426
60,3396.9536,2948.5608
61,3940.015,3302.9268
62,3622.6804,3133.543
63,6138.128,4478.566
64,3359.2986,2456.456
65,5520.474,3243.9602
66,3562.2317,1997.0288
67,3532.841,2408.6785
68,3617.406,1910.2128
69,3337.6882,2793.0586
70,5144.419,3343.6484
71,3429.1782,3547.697
72,3547.697,3128.2288
73,3311.2612,1980.0387
74,3409.6646,2987.9937
75,3880.9465,2889.129
76,4050.7058,1962.8628
77,3557.9043,2149.3572
78,3613.4226,2468.0679
79,3436.1392,2734.0796
80,3458.2866,3194.5005
81,3890.5972,3407.863
82,4436.9805,215.49402
83,3538.8228,2126.3755
84,3478.113,1837.3773
85,3774.5044,3508.3696
86,3763.997,3052.5388
87,3757.6104,2450.601
88,3758.6792,3402.4297
89,3635.6855,2981.5574
90,3552.0906,3355.4187
91,3569.3828,402.06403
92,3688.8657,1461.9086
93,4950.0454,3329.6619
94,3875.6208,3747.9111
95,6253.388,4878.523
96,3597.2463,2747.06
97,3970.7002,843.3894
98,4180.022,2186.7961
99,6249.605,4618.484
100,3353.4707,468.132
101,3317.4482,2656.7046
102,4305.004,3466.6177
103,3642.0938,2319.653
104,3343.6484,2809.1907
105,3505.2476,2941.7932
106,3801.0537,2821.091
107,6032.6143,4481.6255
108,5128.5312,3156.997
109,3425.6711,1222.9182
110,5797.4717,2965.2314
111,3378.3809,3395.1184
112,3614.7532,3355.4187
113,3685.2915,1901.2733
114,3573.637,2955.2712
115,5932.432,5028.892
116,3484.5957,3112.055
117,3570.804,3156.997
118,3784.8447,2496.5361
119,3655.9773,3702.9714
120,4023.7312,2258.5288
121,5224.4023,3567.9587
122,6413.7676,4847.7925
123,3458.2866,2917.6443
124,3858.459,3591.7659
125,3765.0554,2149.3572
126,3404.2456,3257.4907
127,4001.4392,2556.4622
128,5317.471,3528.3198
129,3786.893,906.37683
130,3384.005,3013.2217
131,3819.7898,1222.9182
132,3613.4226,2863.3315
133,3541.794,3255.2532
134,4078.5227,625.22186
135,3755.4673,3495.794
136,3573.637,2994.3777
137,3436.1392,2095.1184
138,3570.804,3055.4814
139,3920.371,2651.94
140,3752.2397,3497.3787
141,3752.2397,2110.8354
142,3553.5486,2684.7812
143,3602.6821,3138.8196
144,6401.63,4768.2188
145,4193.1147,2046.8926
146,3955.1487,2955.2712
147,3795.0227,3323.5815
148,3541.794,1901.2733
149,3705.2932,2095.1184
150,3994.8179,3591.7659
151,3509.9253,2637.4958
152,3613.4226,3497.3787
153,3618.7285,3101.0747
154,3361.2305,3130.8906
155,3704.1333,3243.9602
156,5582.68,3688.8657
157,4039.778,1.6940659e-21
158,5335.5186,3484.5957
159,3537.3323,3187.1519
160,3675.664,1809.2853
161,3290.2383,2617.8801
162,3283.8079,2156.9307
163,3771.37,3478.113
164,3430.925,3241.6802
165,3562.2317,2707.5288
166,3648.4407,3657.225
167,4292.241,968.74835
168,3883.593,3000.71
169,3807.0293,3569.3828
170,4039.0889,3648.4407
171,3473.2102,3534.3416
172,3758.6792,1732.3029
173,4723.9414,1222.9182
174,3565.1013,2751.3445
175,3621.3657,2179.3938
176,3825.5955,2513.241
177,4966.5317,3569.3828
178,3374.606,2738.4277
179,3519.185,2859.579
180,3670.797,3120.1855
181,4110.7295,2208.7505
182,4348.135,2917.6443
183,3429.1782,2545.8337
184,5653.6387,3218.4744
185,3795.0227,1079.3156
186,3685.2915,3612.0896
187,3967.62,1742.0897
188,3869.351,2126.3755
189,5545.1636,3103.8347
190,3541.794,3122.8762
191,3736.9624,3043.6426
192,3679.291,2978.319
193,3389.584,1980.0387
194,3500.537,2414.7695
195,3722.4492,2258.5288
196,4037.708,2978.319
197,3562.2317,2801.163
198,5000.111,3969.162
199,4046.63,2955.2712
200,3654.727,2828.9321
201,3856.6255,2720.9038
202,3875.6208,1771.1696
203,3667.1233,3491.0173
204,3538.8228,2828.9321
205,3448.1536,2632.6306
206,3601.3274,3072.902
207,3694.78,2617.8801
208,3333.6865,2156.9307
209,3705.2932,3159.5576
210,3473.2102,1662.4955
211,6035.211,4426.6875
212,3898.3865,2870.7854
213,3547.697,2479.5505
214,3463.2974,2747.06
