,FL1-A,FL3-A
0,4207.5234,3413.254
1,5275.4497,3708.7605
2,5997.461,4634.5566
3,4156.4297,4548.405
4,4300.4756,2759.8503
5,6451.3657,4720.045
6,6142.962,4465.8257
7,5480.1895,3516.1125
8,3788.935,2468.0679
9,3971.4678,3250.7573
10,4086.89,4211.2056
11,6155.6953,4668.7485
12,7115.3525,5220.4775
13,5021.9287,3290.2383
14,3966.0745,1115.6461
15,6812.94,4914.332
16,5812.923,4306.8057
17,5087.204,2201.4744
18,6553.5938,4735.2593
19,5785.271,4322.3545
20,5460.963,2848.2185
21,4354.8325,3264.1614
22,6223.606,4790.1323
23,5473.3833,2319.653
24,6185.7656,4359.8086
25,5610.793,3317.4482
26,4795.236,0.0
27,5392.82,3508.3696
28,5392.744,3437.8684
29,6310.3755,4443.5083
30,5089.9653,3529.8303
31,5001.706,3055.4814
32,4348.5557,3593.1401
33,5849.6704,3687.6765
34,4969.593,3449.8528
35,3994.8179,2878.172
36,4307.705,3478.113
37,6166.967,4357.74
38,3880.062,2747.06
39,4068.0698,3391.4338
40,6465.3096,4551.4395
41,5709.0825,3413.254
42,6062.4106,4456.36
43,6707.765,4962.5293
44,5991.918,4137.2495
45,4237.8984,3359.2986
46,3913.6865,2867.067
47,5297.181,5847.6367
48,4730.983,4010.1616
49,5039.462,3667.1233
50,6044.4834,3917.8726
51,4291.32,3159.5576
52,5527.623,4206.4673
53,3890.5972,2751.3445
54,4186.6025,4203.8193
55,5234.054,3633.1047
56,5217.035,3741.364
57,5366.7534,2244.5105
58,6432.4546,4331.0674
59,3882.712,1505.4423
60,3948.025,2402.5525
61,4100.176,3103.8347
62,5980.791,4694.2153
63,5265.41,4042.5278
64,4151.834,2855.8096
65,6697.1245,5008.474
66,4850.584,3454.9255
67,5352.2314,3259.7212
68,3833.256,2339.335
69,4131.9155,1662.4955
70,5433.273,4077.2253
71,5329.8994,4277.799
72,4183.869,3416.8245
73,3809.9963,3138.8196
74,4457.066,3081.4648
75,5808.935,4343.912
76,6453.6035,4639.5596
77,6298.4253,4743.0586
78,6610.414,4666.494
79,5914.728,4090.7146
80,4144.2925,3368.905
81,6354.213,4655.095
82,5782.371,3966.0745
83,5146.818,4545.966
84,4842.5483,3663.4287
