,FL1-A,FL3-A
0,5055.7085,6190.072
1,3453.2388,1439.8914
2,4243.8994,2991.1921
3,3772.4165,3473.2102
4,3652.2197,1461.9086
5,3665.894,3359.2986
6,3623.9924,2764.072
7,3955.9355,5320.046
8,3654.727,3323.5815
9,4792.5874,3479.7395
10,3429.1782,2899.9402
11,3679.291,2456.456
12,3708.7605,2931.5327
13,3638.2563,3250.7573
14,3667.1233,3122.8762
15,3546.226,2917.6443
16,3498.9597,3281.6514
17,3903.527,2306.342
18,5299.046,2747.06
19,3645.9092,3296.6108
20,3487.814,2968.5237
21,6134.6763,3529.8303
22,3610.7537,3285.9578
23,3605.3835,2377.698
24,5265.2227,3849.239
25,4075.9255,5371.806
26,3562.2317,3519.185
27,4233.865,1631.8889
28,3746.8245,3553.5486
29,4206.4673,335.68198
30,3994.8179,3095.5237
31,3679.291,3087.1199
32,3372.7107,4148.3643
33,3862.11,4369.236
34,3400.6091,2809.1907
35,6149.665,4147.784
36,3519.185,2479.5505
37,4566.984,5780.377
38,3261.9448,2981.5574
39,3482.9807,2134.0796
40,3404.2456,2776.615
41,3674.451,3281.6514
42,5887.692,4186.0566
43,3740.2664,3046.6196
44,4800.297,0.0
45,4249.8433,2971.8025
46,3839.8853,2738.4277
47,5757.0376,4223.153
48,3478.113,2958.6052
49,4019.4775,3087.1199
50,4784.986,6194.789
51,3429.1782,3167.1868
52,4090.7146,3052.5388
53,3441.314,2556.4622
54,4266.863,3492.6133
55,4960.5176,3248.4988
56,3429.1782,3384.005
57,3302.9268,2907.0686
58,3529.8303,4171.6978
59,5054.913,3473.2102
60,3538.8228,2899.9402
61,3482.9807,3446.45
62,3685.2915,2945.184
63,5872.18,5595.4087
64,3840.827,560.0396
65,3634.3965,1222.9182
66,3569.3828,3000.71
67,5261.6494,3384.005
68,3618.7285,2675.5186
69,3778.6604,3106.5847
70,6361.4414,4390.428
71,3746.8245,3103.8347
72,3908.627,3752.2397
73,3919.5393,2299.629
74,5133.912,3774.5044
75,3763.997,2991.1921
76,5921.373,5778.576
77,3843.643,956.32556
78,3895.8005,3967.62
79,4945.297,4874.252
80,4596.377,3416.8245
81,4295.4565,428.5306
82,3626.6086,3266.371
83,4824.9917,3698.303
84,4037.0164,3055.4814
85,3912.0044,689.9744
86,3701.8074,3492.6133
87,5567.4634,2738.4277
88,3495.794,1246.3866
89,3587.6257,2855.8096
90,3532.841,1962.8628
91,4020.1885,689.9744
92,3859.3735,5164.458
93,5263.4385,3491.0173
94,5253.196,3616.0808
95,3396.9536,3243.9602
96,3867.5486,2817.143
97,3593.1401,3250.7573
98,3655.9773,2345.8206
99,3667.1233,2921.1392
100,3270.7705,2994.3777
101,3674.451,3177.237
102,3807.0293,4093.2515
103,4778.752,3052.5388
104,3523.7678,4125.935
105,3913.6865,3025.5344
106,3556.4556,3022.4746
107,3523.7678,2473.8254
108,3458.2866,2776.615
109,4262.531,4175.596
110,3456.6082,3439.5933
111,3740.2664,3177.237
112,4068.0698,3730.304
113,3826.558,1417.7102
114,3707.6067,2768.2734
115,3821.731,2352.2693
116,3575.049,3508.3696
117,3385.8696,3114.775
118,4127.735,2377.698
119,3601.3274,3133.543
120,3831.3494,1809.2853
121,3389.584,3809.0088
122,3978.3357,2637.4958
123,3650.9624,2513.241
124,6714.3213,4917.5005
125,3947.2285,3726.9492
126,3743.5537,2805.1865
127,5250.416,3573.637
128,3943.231,3376.4958
129,4329.3345,4474.8057
130,3678.0842,3084.2976
131,3760.8115,2179.3938
132,4039.778,3740.2664
133,3794.012,3264.1614
134,3908.627,3716.7803
135,3947.2285,3325.6143
136,5364.7686,3959.8542
137,3370.8105,3052.5388
138,3761.875,1611.2579
139,3463.2974,4456.0063
140,3466.6177,2764.072
141,3931.9033,3277.319
142,3509.9253,3232.487
143,3662.1926,3072.902
144,4315.295,3199.359
145,5333.0093,3453.2388
146,3500.537,2738.4277
147,3529.8303,1980.0387
148,3468.2717,1091.4562
149,3988.8738,3583.4597
150,3451.5479,2855.8096
151,3659.7136,3257.4907
152,3341.6672,3167.1868
153,3494.2053,3277.319
154,3353.4707,3415.0415
155,3361.2305,3232.487
156,3635.6855,3112.055
157,3798.0452,2917.6443
158,3746.8245,3309.1868
159,3927.8086,3281.6514
160,3979.8518,3120.1855
161,6361.5176,4359.8086
162,3372.7107,3177.237
163,3841.7668,1892.2869
164,4062.7776,4201.1606
165,3407.863,2945.184
166,3670.7974,3479.7395
167,3494.2053,2981.5574
168,3355.4187,3294.493
169,3788.935,1483.7596
170,4206.4673,2201.4744
171,6560.435,4390.428
172,3979.8518,2556.4622
173,4206.4673,1590.4474
174,5081.771,4052.0586
175,3601.3274,2987.9937
176,3940.015,5385.3325
177,3337.6882,295.71417
178,3482.9807,2513.241
179,4125.935,1569.4587
180,3639.5378,2703.0254
181,5947.303,4355.6646
182,3804.0483,3372.7107
183,3384.005,3378.3809
184,4078.5227,3156.997
185,3587.6257,2666.1602
186,4070.043,2208.7505
187,3784.8447,3508.3696
188,3575.049,4321.0366
189,3740.2664,2844.3967
190,3886.2285,3046.6196
191,3478.113,3555.0037
192,3355.4187,2251.5398
193,6015.362,4390.428
194,3553.5486,0.0
195,5221.587,3638.2563
196,3473.2102,3149.2612
197,5209.6807,4022.3167
198,4231.3315,441.74445
199,4282.0264,4026.5515
200,3384.005,3177.237
201,3998.505,1846.647
202,4296.372,4720.7344
203,4257.6816,4227.7666
204,3945.6326,2572.1902
205,5327.6206,2371.395
206,3880.9465,5270.544
207,3453.2388,2968.5237
208,3333.6865,2371.395
209,3425.6711,3398.7837
210,5027.6445,6195.01
211,3752.2397,3075.767
212,5334.934,3753.3174
213,3478.113,3979.0942
214,3788.935,2689.3772
215,3652.2197,2768.2734
216,3948.8203,1997.0288
217,5583.2344,3468.2717
218,3849.239,3918.7065
219,3505.2476,2666.1602
220,3359.2986,3798.0452
221,3407.863,2607.9155
222,5115.8267,3597.2463
223,3705.2932,1175.5704
224,3837.0525,2473.8254
225,3478.113,3255.2532
226,3441.314,2545.8337
227,4719.815,3281.6514
228,3573.637,1901.2733
229,3906.9316,2079.2231
230,3519.185,4569.341
231,3686.485,573.10864
232,3583.4597,5093.959
233,3327.641,2859.579
234,3837.9983,4951.148
235,3672.0173,3674.451
236,4444.949,3368.905
237,3409.6646,2821.091
238,3992.5955,3122.8762
239,3613.4226,3167.1868
240,3378.3809,2698.499
241,3797.0393,2855.8096
242,4050.0283,3730.304
243,3807.0293,2844.3967
244,3508.3696,4711.245
245,3366.9941,2438.7917
246,3697.1309,3243.9602
247,4785.6055,5187.704
248,6766.283,4844.989
249,3311.2612,2716.468
250,3663.4287,3434.4055
251,4055.4277,612.21857
252,3627.913,3241.6802
253,3623.9924,1828.0605
254,3821.731,0.0
255,6682.679,4714.734
256,6326.5137,4675.71
257,3584.8513,4037.0164
258,3674.451,4698.9937
259,3478.113,2870.7854
260,3647.176,2507.7034
261,3900.1045,3294.493
262,3744.6458,3415.0415
263,3361.2305,3987.379
264,4094.516,4545.049
265,3730.304,3686.485
266,4896.691,3385.8696
267,4073.9707,2948.5608
268,3895.8005,2071.2083
269,3602.6821,5112.94
270,3648.4407,3177.237
271,3430.925,0.0
272,3587.6257,215.49402
273,3593.1401,2371.395
274,3573.637,2551.1624
275,3323.5815,4315.295
276,3605.3835,4870.49
277,5170.847,4227.7666
278,3922.0312,428.5306
279,3832.3035,2941.7932
280,3917.0376,5089.339
281,3825.5955,1372.8663
282,3675.664,3709.912
283,6161.1343,4637.984
284,3543.2744,3434.4055
285,3458.2866,2965.2314
286,3557.9043,3681.6978
287,5144.9907,4007.2676
288,3528.3198,1732.3029
289,6188.8965,4425.574
290,3347.5938,3151.8489
291,3855.7068,3503.681
292,6215.493,4455.299
293,3473.2102,4864.895
294,3731.4185,2907.0686
295,3992.5955,3391.4336
296,3389.584,3833.256
297,3906.0823,3736.9624
298,3430.925,2352.2693
299,4207.5234,3072.902
300,3816.8674,1611.2579
301,4354.8325,3019.4026
302,6269.9546,4676.945
303,4131.9155,1103.5665
304,3691.2378,2987.9937
305,3500.537,2622.823
306,4027.2544,2821.091
307,4811.682,3528.3198
308,3700.6414,3095.5237
309,3662.1926,2881.8408
310,3880.9465,3538.8228
311,3505.2476,0.0
312,3473.2102,2945.184
313,4085.6099,4238.903
314,4515.279,1910.2128
315,4104.543,3500.537
