,FL1-A,FL3-A
0,3852.0188,202.0895
1,5541.019,4017.3398
2,4811.286,3529.8303
3,3389.584,3128.2288
4,3663.4287,2513.241
5,3268.5742,2479.5505
6,3643.368,4302.744
7,4128.932,8.4703295e-22
8,3461.6313,3601.3274
9,5153.62,4219.541
10,4017.3398,4704.6787
11,4626.037,4947.3594
12,5901.149,3201.776
13,3489.4175,4538.591
14,6101.2124,4348.135
15,3333.6865,2698.499
16,3565.1013,4238.401
17,3599.97,968.74835
18,5980.5044,4073.3179
19,5258.813,4233.3594
20,3402.4297,1962.8628
21,3720.1875,1338.8218
22,3420.3767,4007.2676
23,3589.0085,3919.5393
24,5161.015,3239.3928
25,3391.4336,1600.875
26,3374.606,1936.7487
27,4929.8486,2450.601
28,3566.5315,3092.7327
29,5569.96,3748.9958
30,3528.3198,4180.573
31,5205.452,2917.6443
32,3834.2073,3437.8684
33,3517.6506,3019.4026
34,3862.11,4267.8213
35,3300.8276,3523.7678
36,5697.5513,3740.2664
37,4100.802,2592.7686
38,5807.4087,4287.619
39,3622.6804,3901.818
40,3655.9773,2215.9849
41,4832.687,3497.3787
42,3726.9492,4059.4473
43,3317.4482,3248.4988
44,5028.0605,3461.6313
45,3513.026,3422.146
46,5513.9854,4386.0894
47,3958.2896,3768.2205
48,5799.565,4084.9688
49,3473.2102,3954.361
50,5140.169,2456.456
51,5600.5444,533.8547
52,3597.2463,3382.1353
53,5110.403,1901.2733
54,3268.5742,1163.65
55,4063.4417,3630.514
56,3317.4482,2793.0586
57,4090.0786,4431.8555
58,3681.6978,3589.0085
59,3430.925,3248.4988
60,5311.594,4001.4392
61,6278.315,4760.951
62,6663.6006,4726.677
63,6300.349,4243.8994
64,5379.772,3664.6626
65,3509.9253,8.4703295e-22
66,3528.3198,4031.4565
67,3396.9536,1997.0288
68,3740.2664,2251.5398
69,5709.846,4144.2925
70,3798.0452,4415.088
71,4059.4473,2907.0686
72,4821.302,3716.7803
73,3847.3792,4668.248
74,3589.0085,4036.324
75,3261.9448,3997.7693
76,3924.5137,2981.5574
77,5538.3994,3948.8203
78,4023.7312,4711.9443
79,3772.4165,3359.2986
80,5574.4736,4277.799
81,3498.9597,2734.0793
82,3932.719,1771.1696
83,3881.8298,3583.4597
84,3576.4583,1187.4579
85,5280.4995,4047.9915
86,3522.2437,8.4703295e-22
87,3333.6865,4517.202
88,5021.5083,5862.322
89,3321.5432,3473.2102
90,4487.6997,3003.8567
91,4405.955,3642.0938
92,3466.6177,3760.8115
93,5033.857,3812.95
94,5526.224,4469.295
95,3579.2676,4029.3591
96,3448.1536,1338.8218
97,4922.4697,3517.6506
98,5374.9424,3623.9924
99,3839.8853,2371.395
100,5238.2847,3652.2197
101,3474.8484,2432.8372
102,5318.5024,3836.1055
103,3468.2717,3309.1868
104,5396.9062,2456.456
105,4077.8743,4394.3467
106,5050.7866,4050.7058
107,6009.2715,4230.315
108,4286.2256,3741.364
109,3349.5583,2306.342
110,4224.181,4596.0957
111,5422.598,2931.5327
112,3487.814,2931.5327
113,6523.0415,4566.6885
114,5181.599,3208.9795
115,3261.9448,1742.0897
116,3750.079,2793.0586
117,4093.884,188.67563
118,5015.168,3575.049
119,5058.616,3343.6484
120,3678.0842,2377.698
121,3560.7925,4546.576
122,5223.599,2885.493
123,3532.841,4300.93
124,5149.207,1662.4955
125,5002.4297,1780.769
126,4393.174,4643.4805
127,3654.727,2788.9773
128,5174.67,968.74835
129,5055.311,4240.406
130,4529.8735,5007.3276
131,3584.8513,3777.6238
132,5403.805,3752.2397
133,3482.9807,4143.124
134,4635.877,3223.1755
135,4483.657,5349.872
136,3359.2986,3909.4731
137,5312.6357,3382.1353
138,3825.5955,4228.277
139,3856.6255,4226.2324
140,5068.685,3563.6682
141,5605.6904,3970.7002
142,3658.4705,2622.823
143,3335.6902,2286.0864
144,3659.7136,1211.1321
145,3627.913,2896.3523
146,5814.1704,3957.5059
147,5286.8657,3451.5479
148,4281.0894,4439.89
149,4076.576,3725.8271
150,5306.9736,4083.042
151,3654.727,3022.4746
152,3722.4492,3848.3098
153,3647.176,4359.8086
154,4096.408,4040.4666
155,3626.6086,1901.2733
156,3618.7285,3897.5256
157,4841.9834,3738.0657
158,4355.2485,4048.6711
159,3778.6604,3466.6177
160,5491.3223,3947.2285
161,5172.4883,3767.1672
162,4931.3135,5786.221
163,3829.4373,4257.6816
164,5095.5737,2971.8025
165,3441.314,2994.3777
166,5919.948,3944.0325
167,5581.1255,3768.2205
168,4628.4453,2095.1184
169,3437.8684,2071.2083
170,4317.0674,5212.756
171,4849.4688,3422.146
172,3790.9707,3926.9863
173,4598.624,4865.4385
174,4515.279,1997.0288
175,5890.028,4411.6787
176,3365.0781,2637.4958
177,3960.635,4097.0376
178,6486.356,4678.4233
179,5441.805,3858.459
180,6084.347,4242.405
181,3570.804,2566.976
182,5178.361,375.5472
